patent_id,inventor_id,company_id
10000000,inv_001011,asg_00307
10000000,inv_000236,asg_00307
10000000,inv_000788,asg_00307
10000001,inv_000595,asg_00243
10000001,inv_000595,asg_00347
10000001,inv_001751,asg_00243
10000001,inv_001751,asg_00347
10000001,inv_000876,asg_00243
10000001,inv_000876,asg_00347
10000001,inv_000386,asg_00243
10000001,inv_000386,asg_00347
10000002,inv_001376,asg_00346
10000002,inv_000215,asg_00346
10000002,inv_000811,asg_00346
10000002,inv_000897,asg_00346
10000003,inv_001423,asg_00086
10000003,inv_001423,asg_00033
10000003,inv_001209,asg_00086
10000003,inv_001209,asg_00033
10000003,inv_000208,asg_00086
10000003,inv_000208,asg_00033
10000003,inv_001518,asg_00086
10000003,inv_001518,asg_00033
10000004,inv_000251,asg_00142
10000004,inv_000476,asg_00142
10000004,inv_001716,asg_00142
10000004,inv_000869,asg_00142
10000005,inv_000729,asg_00248
10000005,inv_000729,asg_00261
10000005,inv_000974,asg_00248
10000005,inv_000974,asg_00261
10000005,inv_001365,asg_00248
10000005,inv_001365,asg_00261
10000005,inv_001235,asg_00248
10000005,inv_001235,asg_00261
10000006,inv_000513,asg_00118
10000007,inv_001700,
10000008,inv_000312,asg_00389
10000008,inv_000620,asg_00389
10000008,inv_001273,asg_00389
10000009,inv_000413,asg_00133
10000009,inv_000601,asg_00133
10000009,inv_001355,asg_00133
10000009,inv_001019,asg_00133
10000010,inv_001950,asg_00220
10000011,inv_000906,asg_00337
10000011,inv_000941,asg_00337
10000011,inv_000073,asg_00337
10000011,inv_000067,asg_00337
10000012,inv_000639,asg_00391
10000012,inv_001465,asg_00391
10000013,inv_000974,asg_00200
10000013,inv_001151,asg_00200
10000013,inv_001749,asg_00200
10000013,inv_000320,asg_00200
10000014,inv_001569,
10000014,inv_000582,
10000014,inv_000656,
10000015,inv_000714,asg_00391
10000015,inv_001657,asg_00391
10000015,inv_001519,asg_00391
10000016,inv_000706,
10000016,inv_000731,
10000016,inv_000843,
10000016,inv_000719,
10000017,inv_001213,asg_00156
10000017,inv_000173,asg_00156
10000017,inv_001864,asg_00156
10000018,inv_000076,asg_00290
10000018,inv_000076,asg_00263
10000018,inv_000943,asg_00290
10000018,inv_000943,asg_00263
10000018,inv_001347,asg_00290
10000018,inv_001347,asg_00263
10000019,inv_001204,asg_00165
10000019,inv_000045,asg_00165
10000019,inv_000648,asg_00165
10000019,inv_000773,asg_00165
10000020,inv_000688,asg_00391
10000020,inv_001017,asg_00391
10000021,inv_000744,asg_00325
10000021,inv_001985,asg_00325
10000021,inv_000892,asg_00325
10000022,inv_000097,asg_00115
10000022,inv_000608,asg_00115
10000022,inv_001174,asg_00115
10000023,inv_000559,asg_00243
10000023,inv_000137,asg_00243
10000023,inv_001160,asg_00243
10000024,inv_001334,asg_00258
10000024,inv_001334,asg_00153
10000025,inv_000823,asg_00390
10000025,inv_000514,asg_00390
10000025,inv_001279,asg_00390
10000025,inv_001055,asg_00390
10000026,inv_001181,asg_00380
10000026,inv_001022,asg_00380
10000027,inv_001914,
10000027,inv_001159,
10000027,inv_001488,
10000027,inv_001283,
10000028,inv_000308,asg_00153
10000028,inv_001528,asg_00153
10000029,inv_001298,asg_00211
10000030,inv_000831,asg_00098
10000030,inv_000488,asg_00098
10000031,inv_001146,asg_00103
10000031,inv_001146,asg_00081
10000031,inv_000893,asg_00103
10000031,inv_000893,asg_00081
10000031,inv_000864,asg_00103
10000031,inv_000864,asg_00081
10000031,inv_001324,asg_00103
10000031,inv_001324,asg_00081
10000032,inv_001348,asg_00021
10000032,inv_001127,asg_00021
10000032,inv_000360,asg_00021
10000033,inv_000642,asg_00032
10000034,inv_000483,asg_00256
10000034,inv_000229,asg_00256
10000035,inv_001016,asg_00062
10000035,inv_001811,asg_00062
10000035,inv_000184,asg_00062
10000036,inv_001650,asg_00111
10000036,inv_001650,asg_00073
10000036,inv_001532,asg_00111
10000036,inv_001532,asg_00073
10000036,inv_001523,asg_00111
10000036,inv_001523,asg_00073
10000036,inv_000483,asg_00111
10000036,inv_000483,asg_00073
10000037,inv_000836,
10000037,inv_000520,
10000037,inv_001767,
10000037,inv_001207,
10000038,inv_000972,asg_00074
10000038,inv_001398,asg_00074
10000038,inv_000504,asg_00074
10000038,inv_001972,asg_00074
10000039,inv_000043,asg_00017
10000039,inv_000043,asg_00378
10000039,inv_001321,asg_00017
10000039,inv_001321,asg_00378
10000039,inv_001980,asg_00017
10000039,inv_001980,asg_00378
10000040,inv_000633,asg_00350
10000040,inv_001308,asg_00350
10000040,inv_001962,asg_00350
10000040,inv_001434,asg_00350
10000041,inv_000795,asg_00130
10000041,inv_000016,asg_00130
10000041,inv_001863,asg_00130
10000041,inv_001967,asg_00130
10000042,inv_001760,asg_00224
